PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-CO2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DCO2 - INF),LOG(DCO2 - 1 bar)
19.51272,19.719,1.010571566,2405.1,0.76344,1.66798849,9.58E+00,48.38709677,41.93548387,3.225806452,6.451612903,0,0,0,-3.6115,-3.6531
16.31454,16.86472,1.033723292,2499.71,0.74488,1.532328074,1.05E+01,46.37681159,43.47826087,2.898550725,7.246376812,0,0,0,-3.5956,-3.7346
13.20303,13.63705,1.032872757,2253.71,0.70456,1.239839723,1.11E+01,44.73684211,44.73684211,2.631578947,7.894736842,0,0,0,-3.6261,-3.6892
7.29541,8.24978,1.13081787,1446.3,0.55752,0.673967416,1.66E+01,59.3220339,37.28813559,3.389830508,0,0,0,0,-4.3563,-4.3631
9.76618,9.97178,1.021052244,1362.67,0.54978,0.659625447,1.58E+01,55.88235294,41.17647059,2.941176471,0,0,0,0,-3.3501,-3.5599
7.64416,11.5101,1.505737713,7808.9,0.83824,2.722619202,8.19E+00,54.71698113,37.73584906,7.547169811,0,0,0,0,-3.3543,-3.3006
5.7532,6.34336,1.102579434,7366.96,0.76046,1.646658871,1.41E+01,54.71698113,37.73584906,7.547169811,0,0,0,0,-3.6126,-3.6893
4.72002,7.67734,1.626548193,2271.83,0.6805,1.105138366,2.11E+01,54.71698113,37.73584906,7.547169811,0,0,0,0,-4.3607,-4.3087
12.10114,14.32155,1.183487671,5208.58,0.87284,2.753464544,1.22E+01,54.71698113,37.73584906,7.547169811,0,0,0,0,-3.3896,-3.4502
6.98122,7.53693,1.0796007,3097.61,0.71624,1.422482791,1.91E+01,56.16438356,38.35616438,5.479452055,0,0,0,0,-4.4601,-4.117
9.94781,10.00281,1.005528855,1750.28,0.6094,0.916098928,1.08E+01,57.52212389,38.9380531,3.539823009,0,0,0,0,-3.1404,-3.2479
6.35265,7.06143,1.111572336,1919.39,0.60348,0.787718751,1.57E+01,54.63917526,37.11340206,4.12371134,4.12371134,0,0,0,-3.7308,-3.8718
13.66038,16.30857,1.193859175,6103.73,0.83908,2.691515638,1.20E+01,57.48031496,36.22047244,6.299212598,0,0,0,0,-3.6219,-3.6369
12.29168,13.46817,1.095714337,7323.52,0.85572,3.058261796,8.93E+00,60,36.52173913,3.47826087,0,0,0,0,-3.2079,-3.2559
4.40763,5.97729,1.356123359,426.484,0.4716,0.49400666,2.16E+01,58.51851852,38.51851852,2.962962963,0,0,0,0,-3.893,-4.1713
23.92012,24.32238,1.016816805,2336.97,0.7301,1.3975078,1.33E+01,56.75675676,37.83783784,5.405405405,0,0,0,0,-3.8205,-4.0315
24.67918,25.26263,1.023641385,3204.67,0.78698,2.015318861,1.19E+01,56.75675676,37.83783784,5.405405405,0,0,0,0,-3.307,-3.377
24.5031,27.99964,1.142697863,7999.61,0.91452,5.536639706,6.31E+00,53.84615385,35.8974359,5.128205128,5.128205128,0,0,0,-3.1008,-3.2767
32.02224,34.88694,1.089459701,8240.71,0.9303,6.874713646,5.46E+00,57.44680851,38.29787234,4.255319149,0,0,0,0,-2.9112,-2.9929
38.93275,41.51063,1.066213663,8717.54,0.93942,8.248485381,4.88E+00,57.89473684,38.59649123,3.50877193,0,0,0,0,-2.8589,-2.8478
27.22939,27.58431,1.013034446,2220.86,0.7517,1.425807553,1.35E+01,56.75675676,32.43243243,5.405405405,0,0,0,5.405405405,-3.2541,-3.4292
18.07182,18.53359,1.025551937,1954.44,0.70566,1.238310664,1.08E+01,58,36,6,0,0,0,0,-3.134,-3.2587
9.97193,10.44945,1.047886417,1823.55,0.62708,0.836586309,1.21E+01,50,33.33333333,16.66666667,0,0,0,0,-3.2691,-3.3202
9.29839,9.76611,1.050301181,1544.51,0.59258,0.7100457,1.31E+01,50,33.33333333,16.66666667,0,0,0,0,-3.1705,-3.3753
