PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-H2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DH2 - INF),LOG(DH2 - 1 bar)
19.51272,19.719,1.010571566,2405.1,0.76344,1.66798849,1.47E+00,48.38709677,41.93548387,3.225806452,6.451612903,0,0,0,-1.97274,-2.19276
16.31454,16.86472,1.033723292,2499.71,0.74488,1.532328074,1.65E+00,46.37681159,43.47826087,2.898550725,7.246376812,0,0,0,-2.04654,-2.1379
13.20303,13.63705,1.032872757,2253.71,0.70456,1.239839723,1.89E+00,44.73684211,44.73684211,2.631578947,7.894736842,0,0,0,-2.03749,-2.19399
7.29541,8.24978,1.13081787,1446.3,0.55752,0.673967416,3.67E+00,59.3220339,37.28813559,3.389830508,0,0,0,0,-3.19714,-3.01553
9.76618,9.97178,1.021052244,1362.67,0.54978,0.659625447,3.46E+00,55.88235294,41.17647059,2.941176471,0,0,0,0,-2.37365,-2.60586
7.64416,11.5101,1.505737713,7808.9,0.83824,2.722619202,1.69E+00,54.71698113,37.73584906,7.547169811,0,0,0,0,-2.40044,-2.34939
5.7532,6.34336,1.102579434,7366.96,0.76046,1.646658871,3.08E+00,54.71698113,37.73584906,7.547169811,0,0,0,0,-2.55802,-2.55465
4.72002,7.67734,1.626548193,2271.83,0.6805,1.105138366,4.17E+00,54.71698113,37.73584906,7.547169811,0,0,0,0,-3.02748,-3.09294
12.10114,14.32155,1.183487671,5208.58,0.87284,2.753464544,1.88E+00,54.71698113,37.73584906,7.547169811,0,0,0,0,-2.22229,-2.30935
6.98122,7.53693,1.0796007,3097.61,0.71624,1.422482791,3.32E+00,56.16438356,38.35616438,5.479452055,0,0,0,0,-2.86434,-2.81464
9.94781,10.00281,1.005528855,1750.28,0.6094,0.916098928,2.45E+00,57.52212389,38.9380531,3.539823009,0,0,0,0,-2.243,-2.48353
6.35265,7.06143,1.111572336,1919.39,0.60348,0.787718751,3.58E+00,54.63917526,37.11340206,4.12371134,4.12371134,0,0,0,-2.73156,-2.92024
13.66038,16.30857,1.193859175,6103.73,0.83908,2.691515638,1.77E+00,57.48031496,36.22047244,6.299212598,0,0,0,0,-2.40763,-2.46996
12.29168,13.46817,1.095714337,7323.52,0.85572,3.058261796,1.66E+00,60,36.52173913,3.47826087,0,0,0,0,-2.21506,-2.15112
4.40763,5.97729,1.356123359,426.484,0.4716,0.49400666,5.02E+00,58.51851852,38.51851852,2.962962963,0,0,0,0,-2.74315,-2.8474
23.92012,24.32238,1.016816805,2336.97,0.7301,1.3975078,1.99E+00,56.75675676,37.83783784,5.405405405,0,0,0,0,-2.12417,-2.05541
24.67918,25.26263,1.023641385,3204.67,0.78698,2.015318861,1.90E+00,56.75675676,37.83783784,5.405405405,0,0,0,0,-2.00928,-2.7105
24.5031,27.99964,1.142697863,7999.61,0.91452,5.536639706,8.55E-01,53.84615385,35.8974359,5.128205128,5.128205128,0,0,0,-2.03654,-2.07459
32.02224,34.88694,1.089459701,8240.71,0.9303,6.874713646,7.53E-01,57.44680851,38.29787234,4.255319149,0,0,0,0,-1.85223,-1.89119
38.93275,41.51063,1.066213663,8717.54,0.93942,8.248485381,6.42E-01,57.89473684,38.59649123,3.50877193,0,0,0,0,-1.81701,-1.92788
27.22939,27.58431,1.013034446,2220.86,0.7517,1.425807553,1.91E+00,56.75675676,32.43243243,5.405405405,0,0,0,5.405405405,-2.1076,-2.73438
18.07182,18.53359,1.025551937,1954.44,0.70566,1.238310664,1.82E+00,58,36,6,0,0,0,0,-2.13823,-2.34567
9.97193,10.44945,1.047886417,1823.55,0.62708,0.836586309,2.84E+00,50,33.33333333,16.66666667,0,0,0,0,-2.36252,-2.40884
9.29839,9.76611,1.050301181,1544.51,0.59258,0.7100457,3.14E+00,50,33.33333333,16.66666667,0,0,0,0,-2.38063,-2.58804
29.11056,29.29453,1.0063197,1870.34,0.7632,1.589910568,1.36E+00,61.11111111,22.22222222,0,11.11111111,5.555555556,0,0,-1.89704,-1.97683
29.68302,29.86296,1.006062052,2071.6,0.78602,1.819983653,1.15E+00,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,-1.8317,-2.00227
12.07344,12.33825,1.021933268,3298.03,0.75084,1.499607542,2.55E+00,52.38095238,33.33333333,9.523809524,4.761904762,0,0,0,-2.77453,-2.81437
10.1596,10.5606,1.039470058,1305.72,0.57934,0.614994947,3.01E+00,42.85714286,28.57142857,14.28571429,14.28571429,0,0,0,-2.2112,-2.33332
31.67982,31.93506,1.008056864,2448.75,0.82536,2.227211398,1.15E+00,54.54545455,27.27272727,4.545454545,9.090909091,4.545454545,0,0,-1.96455,-2.09499
11.36215,11.54437,1.016037458,1129.92,0.55868,0.592728708,2.87E+00,60,25,5,10,0,0,0,-2.61985,-2.80729
