PLD (Å),LCD (Å),LCD/PLD,Sacc (m2/g),Porosity,Pore Volume (cm3/g),Qst-N2 (kJ/mol),%C,%H,%N,%O,%Metalloid,%Halogen,%Ametal,LOG(DN2 - INF),LOG(DN2 - 1 bar)
19.51272,19.719,1.010571566,2405.1,0.76344,1.66798849,4.98E+00,48.38709677,41.93548387,3.225806452,6.451612903,0,0,0,-2.82374,-2.84933
16.31454,16.86472,1.033723292,2499.71,0.74488,1.532328074,5.53E+00,46.37681159,43.47826087,2.898550725,7.246376812,0,0,0,-2.86459,-2.99985
13.20303,13.63705,1.032872757,2253.71,0.70456,1.239839723,6.04E+00,44.73684211,44.73684211,2.631578947,7.894736842,0,0,0,-2.88672,-3.15326
7.29541,8.24978,1.13081787,1446.3,0.55752,0.673967416,9.98E+00,59.3220339,37.28813559,3.389830508,0,0,0,0,-4.07692,-4.11748
9.76618,9.97178,1.021052244,1362.67,0.54978,0.659625447,9.61E+00,55.88235294,41.17647059,2.941176471,0,0,0,0,-3.10144,-3.13095
7.64416,11.5101,1.505737713,7808.9,0.83824,2.722619202,4.51E+00,54.71698113,37.73584906,7.547169811,0,0,0,0,-3.10186,-3.11548
5.7532,6.34336,1.102579434,7366.96,0.76046,1.646658871,8.45E+00,54.71698113,37.73584906,7.547169811,0,0,0,0,-3.34496,-3.31955
4.72002,7.67734,1.626548193,2271.83,0.6805,1.105138366,1.09E+01,54.71698113,37.73584906,7.547169811,0,0,0,0,-3.79156,-3.91378
12.10114,14.32155,1.183487671,5208.58,0.87284,2.753464544,5.70E+00,54.71698113,37.73584906,7.547169811,0,0,0,0,-2.98635,-3.05112
6.98122,7.53693,1.0796007,3097.61,0.71624,1.422482791,9.59E+00,56.16438356,38.35616438,5.479452055,0,0,0,0,-3.7795,-3.62195
9.94781,10.00281,1.005528855,1750.28,0.6094,0.916098928,6.35E+00,57.52212389,38.9380531,3.539823009,0,0,0,0,-2.93411,-3.10946
6.35265,7.06143,1.111572336,1919.39,0.60348,0.787718751,9.32E+00,54.63917526,37.11340206,4.12371134,4.12371134,0,0,0,-3.43324,-3.50919
13.66038,16.30857,1.193859175,6103.73,0.83908,2.691515638,5.69E+00,57.48031496,36.22047244,6.299212598,0,0,0,0,-3.22206,-3.24098
